User_ID,Date,Wake_Up_Time,Sleep_Hours,Steps,Calories_Burned,Water_Intake_ml,Study_Hours,Mood_Score
U423,2025-08-03,06:47,5.1,2123,2884,4661,6.1,10
U424,2025-03-27,05:46,9.0,16421,2903,909,2.9,3
U425,2025-02-23,08:27,8.2,3188,3756,1615,6.7,1
U426,2025-02-18,08:20,9.2,18792,3600,2095,7.4,5
U427,2025-08-29,06:45,5.2,15831,2726,3255,1.2,2
U428,2025-08-14,08:08,8.6,17311,2518,1424,3.4,10
U429,2025-09-18,08:03,6.3,19357,1256,680,1.8,1
U430,2025-04-30,06:34,6.3,863,3280,4241,5.3,6
U431,2025-08-17,06:52,5.8,11651,2125,2391,6.4,4
U432,2025-10-18,06:42,5.0,18905,3118,4440,7.5,10
U433,2025-08-30,05:23,5.3,1543,1923,3114,7.1,3
U434,2025-06-09,06:43,5.4,1397,3222,1911,2.7,9
U435,2025-08-03,09:19,6.7,13338,2432,4528,6.1,5
U436,2025-06-02,05:41,5.9,9202,1716,2596,5.7,5
U437,2025-01-16,07:08,8.9,675,1519,4082,3.6,8
U438,2025-05-16,07:13,5.3,18836,3704,2101,6.4,9
U439,2025-07-28,09:00,8.7,7371,1675,3448,6.4,2
U440,2025-03-08,06:33,8.2,2238,1212,1197,6.4,8
U441,2025-05-31,07:37,5.1,2163,2737,532,7.6,8
U442,2025-05-07,08:57,6.6,10879,2629,3407,2.7,4
U443,2025-02-25,05:46,7.9,3893,2431,1044,7.1,1
U444,2025-07-18,09:46,7.9,18671,1918,1840,2.7,1
U445,2025-06-18,05:13,9.2,1391,3791,2691,0.0,3
U446,2025-01-03,07:36,8.2,2609,1245,4423,3.1,3
U447,2025-03-18,05:57,8.7,6154,1805,3577,7.5,8
U448,2025-07-15,08:24,7.9,14644,1596,2184,3.4,10
U449,2025-01-02,08:47,6.8,17392,3328,3916,3.1,10
U450,2025-02-23,07:41,8.2,4877,2752,4158,7.0,6
U451,2025-08-28,06:42,9.1,2091,2236,4633,6.4,1
U452,2025-02-28,09:51,6.0,6795,1497,2402,4.8,10
U453,2025-05-31,08:40,8.4,10998,2799,3937,4.2,10
U454,2025-03-12,07:04,5.9,6078,2060,997,7.3,6
U455,2025-09-17,06:10,9.2,11783,3012,4074,3.5,1
U456,2025-01-06,08:19,8.3,18242,2644,2560,2.8,5
U457,2025-06-07,09:56,5.8,8109,3652,2346,7.5,3
U458,2025-10-25,05:44,8.9,1356,3277,1553,0.3,2
U459,2025-02-13,07:39,8.7,5320,3759,1224,3.9,8
U460,2025-01-09,07:26,6.6,12963,2877,1131,7.7,8
U461,2025-02-08,09:39,7.8,4820,3077,3155,7.2,7
U462,2025-03-23,06:44,8.6,7561,2359,1338,6.9,5
U463,2025-02-28,07:10,5.1,1277,2504,3852,3.1,10
U464,2025-06-09,05:18,7.2,19600,3340,1620,2.0,8
U465,2025-07-10,08:22,9.1,7894,2288,1949,7.6,6
U466,2025-06-24,05:02,6.6,2573,2269,4768,5.7,6
U467,2025-08-13,08:26,7.3,11340,3269,4755,7.8,9
U468,2025-04-13,06:34,8.4,6947,2354,4288,1.2,3
U469,2025-04-03,08:36,7.2,4282,1828,4377,0.5,9
U470,2025-08-17,07:01,9.5,1336,2041,4013,1.2,9
U471,2025-09-01,08:21,6.9,588,1718,2431,2.8,2
U472,2025-08-21,05:16,7.3,9053,1857,4275,0.3,6
U473,2025-09-24,07:05,7.4,3351,3697,3935,0.6,6
U474,2025-04-13,07:35,7.6,7218,3484,1204,3.8,9
U475,2025-08-02,09:09,8.4,8896,3305,3314,2.5,5
U476,2025-01-03,09:37,8.5,1543,1365,3507,6.4,4
U477,2025-02-02,08:40,6.9,8571,2318,2754,0.7,4
U478,2025-05-24,06:04,9.2,9031,3463,4858,4.8,5
U479,2025-08-26,05:30,5.5,8467,1304,729,3.7,3
U480,2025-10-12,05:03,5.0,14134,3775,4185,7.7,6
U481,2025-05-09,05:18,8.5,17879,1435,4263,7.5,10
U482,2025-01-24,07:15,6.3,5903,1951,2359,2.4,6
U483,2025-06-12,05:24,5.6,15525,2637,1590,1.4,2
U484,2025-05-25,06:17,5.5,14860,1809,624,1.9,4
U485,2025-08-05,06:19,5.0,17996,1714,4928,3.2,9
U486,2025-10-17,09:24,9.3,8640,1995,4145,4.8,7
U487,2025-01-13,05:29,5.4,10618,2281,4542,6.6,1
U488,2025-04-30,06:45,5.6,3975,1498,3286,4.8,7
U489,2025-08-15,08:21,8.7,9026,3213,3925,5.9,1
U490,2025-01-24,06:00,7.5,1093,3601,4184,7.4,9
U491,2025-03-13,09:14,7.4,8770,2138,1737,2.2,4
U492,2025-01-21,09:48,8.7,19437,3445,717,4.3,4
U493,2025-03-28,06:03,7.1,10752,2479,4985,7.7,1
U494,2025-05-08,06:38,7.4,9362,2815,628,0.7,7
U495,2025-07-04,09:02,5.9,12508,3637,3685,1.3,1
U496,2025-02-14,09:33,8.3,3858,2554,1360,6.8,2
U497,2025-04-21,06:13,8.1,11675,2585,4495,6.6,8
U498,2025-01-21,09:16,8.2,6493,3384,2924,1.3,6
U499,2025-03-07,09:50,5.6,18309,3577,4365,2.6,2
U500,2025-07-28,08:35,7.5,17564,1731,2671,3.6,8
